Home Team,Away Team,Home Score,Away Score
Chiefs,Lions,20,21
Browns,Bengals,24,3
Ravens,Texans,25,9
Vikings,Buccaneers,17,20
Falcons,Panthers,24,10
Commanders,Cardinals,20,16
Colts,Jaguars,21,31
Steelers,49ers,7,30
Saints,Titans,16,15
Broncos,Raiders,16,17
Patriots,Eagles,20,25
Seahawks,Rams,13,30
Chargers,Dolphins,34,36
Bears,Packers,20,38
Giants,Cowboys,0,40
Jets,Bills,22,16
